Source File Name:	Scan
Signal:	FFT - Vib Velocity - Magnitude

Frequency	Magnitude
[ Hz ]	[ m/s ]
2637.5	2.540669e-8
2643.75	3.018225e-8
2650	1.58763e-8
2656.25	2.957298e-8
2662.5	1.953625e-8
2668.75	1.990209e-8
2675	9.47968e-9
2681.25	1.334409e-8
2687.5	2.329271e-8
2693.75	7.264445e-9
2700	7.736014e-9
2706.25	2.352199e-8
2712.5	2.535313e-8
2718.75	1.237478e-8
2725	6.628817e-9
2731.25	1.596981e-8
2737.5	1.995963e-8
2743.75	6.821573e-9
2750	2.93645e-8
2756.25	1.343569e-8
2762.5	3.575066e-8
2768.75	3.492981e-8
2775	2.955525e-8
2781.25	5.462173e-9
2787.5	1.113801e-8
2793.75	2.038374e-8
2800	1.655948e-8
2806.25	1.115727e-8
2812.5	4.484636e-9
2818.75	4.773472e-8
2825	9.404974e-9
2831.25	7.832828e-9
2837.5	3.288587e-8
2843.75	3.398802e-8
2850	2.348636e-8
2856.25	6.623429e-9
2862.5	2.153496e-8
2868.75	2.351336e-8
2875	5.751819e-9
2881.25	2.329629e-8
2887.5	3.413087e-9
2893.75	2.571667e-8
2900	1.425076e-8
2906.25	1.299092e-8
2912.5	2.657367e-9
2918.75	5.263814e-9
2925	4.154914e-9
2931.25	6.872213e-9
2937.5	1.689175e-8
2943.75	1.820128e-8
2950	1.482186e-8
2956.25	1.050754e-8
2962.5	6.759316e-9
2968.75	2.542648e-8
2975	7.99846e-9
2981.25	1.873955e-8
2987.5	1.492421e-8
2993.75	2.124055e-8
3000	4.981526e-9
3006.25	9.212642e-9
3012.5	2.238597e-9
3018.75	2.208697e-8
3025	2.223916e-8
3031.25	1.431759e-8
3037.5	7.184898e-9
3043.75	1.977209e-9
3050	2.286109e-8
3056.25	1.062494e-8
3062.5	1.554628e-9
3068.75	1.200575e-8
3075	1.529063e-8
3081.25	1.493059e-8
3087.5	1.045058e-8
3093.75	1.65436e-8
3100	1.005314e-8
3106.25	3.414712e-9
3112.5	4.127399e-9
3118.75	1.558321e-8
3125	2.063918e-8
3131.25	2.218472e-9
3137.5	7.299085e-9
3143.75	3.20361e-9
3150	1.957906e-8
3156.25	7.331093e-9
3162.5	1.849045e-8
3168.75	2.35494e-8
3175	1.748527e-9
3181.25	1.607233e-8
3187.5	6.25394e-9
3193.75	4.436495e-9
3200	1.03475e-8
3206.25	2.61177e-8
3212.5	1.710347e-8
3218.75	2.176625e-8
3225	1.953104e-8
3231.25	1.988211e-8
3237.5	1.162777e-8
3243.75	3.130674e-8
3250	1.050618e-8
3256.25	9.410503e-9
3262.5	8.58088e-9
3268.75	6.876357e-9
3275	2.553917e-8
3281.25	3.041572e-8
3287.5	2.242612e-8
3293.75	1.052472e-8
3300	9.77864e-9
3306.25	8.274808e-9
3312.5	1.788078e-8
3318.75	8.484488e-9
3325	1.773598e-8
3331.25	8.150391e-9
3337.5	2.204573e-8
3343.75	1.781751e-8
3350	2.025375e-8
3356.25	9.383327e-9
3362.5	2.456653e-8
3368.75	9.333681e-9
3375	1.099794e-8
3381.25	8.380699e-9
3387.5	1.052392e-8
3393.75	6.797317e-9
3400	1.07878e-8
3406.25	1.440243e-8
3412.5	7.800629e-9
3418.75	1.338014e-8
3425	2.761618e-9
3431.25	1.083271e-9
3437.5	1.624947e-8
3443.75	1.599188e-8
3450	6.500444e-9
3456.25	6.207518e-9
3462.5	2.345653e-8
3468.75	1.144332e-8
3475	1.495571e-8
3481.25	8.719637e-9
3487.5	1.450344e-8
3493.75	1.178654e-8
3500	1.135282e-8
3506.25	1.845657e-8
3512.5	1.96378e-8
3518.75	1.349562e-8
3525	1.384754e-8
3531.25	5.675637e-9
3537.5	8.668025e-9
3543.75	9.363262e-9
3550	9.576918e-9
3556.25	1.752681e-8
3562.5	7.303791e-9
3568.75	1.236689e-8
3575	1.280177e-8
3581.25	1.635923e-8
3587.5	7.850951e-9
3593.75	6.268043e-9
3600	3.850062e-9
3606.25	1.512019e-8
3612.5	9.09477e-9
3618.75	7.388699e-9
3625	1.29604e-8
3631.25	8.280076e-9
3637.5	9.176157e-9
3643.75	1.009472e-9
3650	8.379811e-9
3656.25	1.477554e-8
3662.5	8.650394e-9
3668.75	1.423528e-8
3675	1.40222e-8
3681.25	1.332131e-8
3687.5	4.434322e-9
